LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX
-27.63599,-65.33749,2000,01,01,    3.96,    9.79,   48.01,   93.95,   15.00,   24.94,   12.61,   12.61,   31.66,   16.67,   24.42,    2.68,    1.51,    5.60,    4.87
-27.63599,-65.33749,2000,01,02,    1.47,    9.31,   44.69,   93.89,   15.02,   25.80,   11.80,   11.80,   32.53,   17.51,   24.77,    1.31,    0.91,    5.60,    3.63
-27.63599,-65.33749,2000,01,03,    8.74,    9.58,   45.77,   93.62,   15.43,   25.50,   12.18,   12.18,   32.45,   17.02,   24.80,    1.69,    0.97,    5.71,    3.93
-27.63599,-65.33749,2000,01,04,    4.06,   10.54,   48.84,   93.71,   13.96,   26.21,   13.67,   13.67,   32.18,   18.22,   25.32,    1.04,    1.00,    5.35,    3.07
-27.63599,-65.33749,2000,01,05,    0.09,   10.30,   42.41,   93.72,   15.31,   27.88,   13.31,   13.31,   34.71,   19.40,   27.33,    0.40,    0.41,    3.50,    2.93
-27.63599,-65.33749,2000,01,06,    0.64,   11.09,   46.05,   93.82,   13.36,   28.18,   14.49,   14.49,   34.33,   20.97,   27.20,    1.48,    0.96,    7.08,    5.36
-27.63599,-65.33749,2000,01,07,    4.25,   12.60,   56.48,   93.78,   10.82,   26.54,   16.44,   16.44,   31.75,   20.92,   25.87,    1.09,    0.82,    6.86,    5.48
-27.63599,-65.33749,2000,01,08,    3.83,   13.84,   60.99,   93.78,   13.12,   27.39,   17.94,   17.94,   33.01,   19.90,   26.15,    0.09,    0.14,    4.73,    3.92
-27.63599,-65.33749,2000,01,09,    1.69,   12.36,   56.85,   93.95,   11.52,   26.40,   16.10,   16.10,   31.74,   20.22,   25.48,    0.73,    0.49,    6.04,    4.97
-27.63599,-65.33749,2000,01,10,    0.73,   13.84,   58.41,   93.72,   13.05,   28.51,   17.96,   17.96,   33.27,   20.22,   26.87,    0.86,    0.49,    4.85,    4.00
-27.63599,-65.33749,2000,01,11,    0.53,   14.47,   52.35,   93.39,   14.67,   30.61,   18.58,   18.58,   36.97,   22.30,   29.46,    1.45,    0.63,    7.10,    5.81
-27.63599,-65.33749,2000,01,12,    1.20,   15.28,   54.33,   93.24,   13.72,   30.83,   19.44,   19.44,   36.69,   22.97,   29.72,    1.53,    1.08,    6.68,    5.60
-27.63599,-65.33749,2000,01,13,    3.17,   16.76,   79.45,   93.45,    5.79,   25.39,   21.00,   21.00,   27.60,   21.81,   24.83,    2.30,    1.30,    6.16,    4.75
-27.63599,-65.33749,2000,01,14,   13.35,   16.45,   81.70,   93.44,    7.00,   24.87,   20.71,   20.71,   28.02,   21.02,   24.05,    3.89,    3.18,    6.96,    5.95
-27.63599,-65.33749,2000,01,15,   49.45,   17.52,   87.64,   93.33,    6.76,   24.57,   21.69,   21.69,   28.06,   21.31,   23.91,    4.05,    2.24,    7.39,    6.12
-27.63599,-65.33749,2000,01,16,   26.12,   17.52,   87.12,   93.28,    6.05,   24.46,   21.66,   21.66,   27.44,   21.39,   23.99,    1.34,    0.92,    4.71,    3.05
-27.63599,-65.33749,2000,01,17,   23.58,   13.21,   86.59,   94.11,    4.19,   19.69,   17.23,   17.23,   22.11,   17.93,   19.66,    1.64,    0.85,    8.80,    6.90
-27.63599,-65.33749,2000,01,18,    0.00,   12.79,   76.42,   94.50,    9.15,   22.22,   16.81,   16.81,   26.18,   17.03,   21.23,    0.44,    0.38,    4.45,    3.80
-27.63599,-65.33749,2000,01,19,    0.00,   15.56,   78.94,   94.10,   11.02,   24.80,   19.87,   19.87,   29.14,   18.12,   23.82,    0.92,    0.52,    5.60,    4.47
-27.63599,-65.33749,2000,01,20,    4.25,   18.34,   81.49,   93.42,    9.68,   26.20,   22.42,   22.42,   30.90,   21.22,   25.90,    1.85,    1.22,    6.19,    4.77
-27.63599,-65.33749,2000,01,21,   29.06,   19.04,   80.00,   93.19,    8.03,   26.72,   23.01,   23.01,   31.26,   23.23,   26.80,    0.74,    0.46,    8.40,    5.72
-27.63599,-65.33749,2000,01,22,    8.69,   12.62,   83.89,   94.19,    4.76,   19.87,   16.60,   16.60,   22.03,   17.27,   19.45,    2.49,    1.35,    8.72,    6.38
-27.63599,-65.33749,2000,01,23,    0.43,   14.33,   82.05,   93.92,   10.08,   22.74,   18.51,   18.51,   26.83,   16.75,   21.81,    1.08,    0.58,    4.72,    4.05
-27.63599,-65.33749,2000,01,24,    8.07,   16.41,   83.71,   93.90,    8.98,   24.35,   20.73,   20.74,   29.03,   20.05,   23.69,    2.60,    1.40,    7.52,    5.70
-27.63599,-65.33749,2000,01,25,    0.82,   13.30,   78.08,   94.23,    6.58,   22.15,   17.43,   17.43,   25.34,   18.75,   21.46,    2.34,    1.41,    5.58,    4.08
-27.63599,-65.33749,2000,01,26,    0.01,   12.81,   71.51,   94.33,   10.74,   22.96,   16.83,   16.83,   27.69,   16.95,   22.30,    1.96,    1.24,    5.67,    4.37
-27.63599,-65.33749,2000,01,27,    0.01,   12.82,   72.15,   94.12,   10.02,   22.82,   16.84,   16.84,   27.34,   17.32,   22.14,    3.68,    1.98,    7.36,    6.21
-27.63599,-65.33749,2000,01,28,    3.63,   13.37,   69.50,   93.83,   10.76,   23.92,   17.46,   17.46,   28.97,   18.22,   23.39,    1.10,    0.70,    6.17,    5.14
-27.63599,-65.33749,2000,01,29,   20.97,   14.43,   77.41,   93.64,    9.36,   23.33,   18.62,   18.62,   27.76,   18.40,   22.83,    2.09,    1.14,    7.68,    6.25
-27.63599,-65.33749,2000,01,30,    6.24,   14.67,   79.46,   93.87,    9.57,   23.69,   18.94,   18.94,   27.58,   18.02,   22.71,    0.56,    0.31,    3.55,    2.74
-27.63599,-65.33749,2000,01,31,    0.00,   14.73,   74.64,   94.10,    9.70,   24.55,   19.05,   19.05,   29.26,   19.56,   23.86,    0.31,    0.20,    5.60,    3.94
-27.63599,-65.33749,2000,02,01,    4.06,   14.75,   75.97,   93.85,   10.28,   24.15,   18.98,   18.98,   28.49,   18.21,   23.54,    0.55,    0.42,    7.33,    6.05
-27.63599,-65.33749,2000,02,02,   10.31,   15.64,   82.01,   93.60,   10.63,   23.87,   19.89,   19.89,   28.97,   18.34,   23.19,    0.54,    0.30,   10.49,    8.15
-27.63599,-65.33749,2000,02,03,    0.43,   10.94,   65.79,   93.97,   10.66,   21.91,   14.34,   14.34,   26.92,   16.26,   21.05,    2.01,    1.61,    5.59,    3.61
-27.63599,-65.33749,2000,02,04,    0.00,   12.14,   69.20,   93.58,   12.24,   22.25,   15.85,   15.85,   28.03,   15.78,   21.84,    1.68,    1.00,    6.00,    4.97
-27.63599,-65.33749,2000,02,05,    5.61,   14.87,   77.11,   93.63,   11.86,   24.11,   19.02,   19.02,   29.05,   17.19,   23.39,    1.19,    0.51,    6.17,    4.98
-27.63599,-65.33749,2000,02,06,    9.29,   15.69,   82.98,   94.23,    5.52,   23.42,   20.07,   20.07,   26.28,   20.76,   23.15,    2.06,    1.21,    4.97,    4.01
-27.63599,-65.33749,2000,02,07,    8.22,   15.79,   79.21,   94.07,    9.28,   24.51,   20.14,   20.14,   29.12,   19.84,   24.01,    4.96,    2.61,    9.28,    7.54
-27.63599,-65.33749,2000,02,08,    2.61,   13.58,   77.89,   93.95,    8.24,   22.52,   17.73,   17.73,   26.33,   18.09,   21.79,    1.94,    0.89,    4.70,    4.01
-27.63599,-65.33749,2000,02,09,    0.55,   14.93,   74.32,   93.68,   11.76,   24.78,   19.12,   19.12,   29.83,   18.07,   24.07,    0.51,    0.29,    3.80,    3.23
-27.63599,-65.33749,2000,02,10,    0.11,   17.52,   80.91,   93.39,    7.93,   25.58,   21.70,   21.70,   29.63,   21.69,   25.25,    1.16,    0.67,    5.63,    4.41
-27.63599,-65.33749,2000,02,11,    6.02,   18.01,   78.56,   93.17,   10.05,   26.31,   22.09,   22.09,   32.11,   22.06,   26.17,    1.12,    0.52,    9.21,    7.04
-27.63599,-65.33749,2000,02,12,    9.70,   18.28,   75.95,   93.10,   11.45,   27.28,   22.31,   22.31,   33.10,   21.65,   26.98,    0.44,    0.12,    6.02,    4.10
-27.63599,-65.33749,2000,02,13,    6.14,   11.68,   82.11,   94.36,    8.93,   19.28,   14.95,   14.95,   23.49,   14.56,   18.58,    3.12,    1.88,   10.80,    8.33
-27.63599,-65.33749,2000,02,14,    0.80,    9.02,   72.91,   95.15,    8.24,   17.69,   11.61,   11.61,   21.01,   12.77,   16.53,    3.17,    1.68,    5.58,    4.37
-27.63599,-65.33749,2000,02,15,    0.08,   10.46,   75.14,   94.90,   10.68,   19.46,   13.74,   13.74,   23.75,   13.06,   18.34,    2.13,    1.20,    5.29,    4.41
-27.63599,-65.33749,2000,02,16,    0.00,   11.78,   72.44,   94.67,   10.56,   21.55,   15.61,   15.61,   26.51,   15.94,   20.79,    3.85,    2.13,    7.44,    6.14
-27.63599,-65.33749,2000,02,17,    0.04,   11.73,   73.48,   94.35,   10.87,   21.13,   15.48,   15.48,   26.60,   15.73,   20.44,    3.54,    2.41,    8.56,    6.96
-27.63599,-65.33749,2000,02,18,    2.91,   12.23,   70.77,   94.08,   12.20,   22.47,   16.05,   16.05,   27.74,   15.54,   21.68,    1.75,    0.90,    6.66,    5.56
-27.63599,-65.33749,2000,02,19,   20.72,   14.05,   80.58,   94.23,    7.82,   22.19,   18.30,   18.30,   26.30,   18.48,   21.84,    0.51,    0.28,    8.07,    5.68
-27.63599,-65.33749,2000,02,20,   13.94,   13.01,   86.20,   94.54,    5.73,   20.32,   17.17,   17.17,   22.91,   17.18,   19.56,    1.68,    0.97,    6.81,    4.65
-27.63599,-65.33749,2000,02,21,    3.60,   13.37,   84.61,   94.43,    8.16,   21.05,   17.56,   17.57,   24.95,   16.80,   20.27,    1.89,    1.07,    5.36,    4.55
-27.63599,-65.33749,2000,02,22,    3.59,   14.53,   80.55,   94.01,    9.29,   22.85,   18.77,   18.77,   27.09,   17.81,   22.35,    0.42,    0.18,    6.14,    5.10
-27.63599,-65.33749,2000,02,23,    6.11,   16.55,   84.49,   93.88,    8.76,   24.07,   20.85,   20.85,   28.39,   19.63,   23.67,    3.01,    1.75,    6.66,    5.22
-27.63599,-65.33749,2000,02,24,    3.40,   17.25,   83.41,   93.67,    7.93,   24.77,   21.50,   21.50,   29.17,   21.24,   24.53,    1.44,    0.75,    7.65,    6.07
-27.63599,-65.33749,2000,02,25,    2.94,   16.04,   82.46,   93.55,    8.73,   24.22,   20.26,   20.26,   28.28,   19.55,   23.51,    2.55,    2.43,    5.64,    3.90
-27.63599,-65.33749,2000,02,26,    3.16,   17.74,   83.11,   93.27,    8.88,   25.55,   21.87,   21.87,   30.15,   21.27,   24.98,    1.36,    0.82,    6.36,    5.03
-27.63599,-65.33749,2000,02,27,    3.38,   14.19,   71.07,   93.56,   10.80,   23.94,   17.97,   17.98,   28.16,   17.36,   23.96,    0.45,    0.30,   11.05,    8.99
-27.63599,-65.33749,2000,02,28,    0.02,    9.77,   67.93,   94.52,    9.76,   19.60,   12.68,   12.68,   24.30,   14.54,   18.81,    0.81,    0.52,    6.14,    5.12
-27.63599,-65.33749,2000,02,29,    0.33,    9.15,   66.26,   94.49,   10.51,   18.62,   11.70,   11.70,   23.65,   13.14,   18.16,    1.21,    0.78,    7.46,    6.46
-27.63599,-65.33749,2000,03,01,    0.88,   10.93,   72.60,   94.26,   11.51,   20.26,   14.25,   14.25,   25.25,   13.73,   19.48,    0.48,    0.27,    5.45,    4.78
-27.63599,-65.33749,2000,03,02,    0.39,   13.76,   81.06,   94.00,   10.80,   22.44,   17.91,   17.91,   27.09,   16.29,   21.36,    3.24,    1.91,    5.53,    4.77
-27.63599,-65.33749,2000,03,03,    1.44,   16.39,   82.56,   93.70,    9.95,   24.73,   20.67,   20.67,   29.65,   19.69,   23.86,    3.26,    2.01,    6.06,    4.31
-27.63599,-65.33749,2000,03,04,    5.36,   17.32,   85.27,   93.72,    7.33,   24.71,   21.58,   21.58,   28.36,   21.03,   24.24,    4.73,    2.80,    8.89,    7.36
-27.63599,-65.33749,2000,03,05,    7.63,   14.61,   84.81,   94.11,    4.98,   21.66,   18.86,   18.85,   23.98,   19.01,   21.61,    1.72,    1.28,   10.84,    8.56
-27.63599,-65.33749,2000,03,06,    4.17,   13.69,   79.78,   94.55,    8.32,   22.24,   17.94,   17.94,   26.12,   17.80,   21.63,    1.51,    0.91,    5.48,    4.59
-27.63599,-65.33749,2000,03,07,    3.32,   14.42,   81.66,   94.35,    7.94,   22.72,   18.75,   18.75,   26.92,   18.98,   22.06,    2.53,    1.28,    7.14,    5.82
-27.63599,-65.33749,2000,03,08,   13.07,   13.49,   89.21,   94.18,    5.67,   19.88,   17.67,   17.67,   22.46,   16.79,   19.52,    4.11,    2.49,    6.80,    5.52
-27.63599,-65.33749,2000,03,09,    2.37,   11.97,   82.75,   94.26,    9.28,   19.86,   15.80,   15.80,   24.33,   15.04,   18.83,    1.80,    1.05,    5.23,    4.59
-27.63599,-65.33749,2000,03,10,    0.34,   13.81,   81.68,   94.09,    9.88,   22.07,   17.98,   17.99,   26.63,   16.75,   21.31,    1.64,    0.86,    4.87,    4.32
-27.63599,-65.33749,2000,03,11,    0.93,   14.61,   81.05,   94.06,    9.36,   23.05,   18.91,   18.91,   27.37,   18.01,   22.34,    2.76,    1.59,    6.04,    5.03
-27.63599,-65.33749,2000,03,12,    0.46,   15.09,   80.44,   93.77,    9.38,   23.59,   19.38,   19.38,   27.97,   18.58,   22.95,    3.66,    1.91,    8.71,    7.10
-27.63599,-65.33749,2000,03,13,    1.19,   15.85,   80.29,   93.53,   10.36,   24.44,   20.10,   20.10,   29.17,   18.81,   23.74,    3.20,    1.57,    6.19,    5.37
-27.63599,-65.33749,2000,03,14,    1.21,   14.52,   85.42,   93.84,    5.61,   21.67,   18.73,   18.73,   24.57,   18.96,   21.34,    1.97,    1.67,    5.70,    4.48
-27.63599,-65.33749,2000,03,15,   15.92,   14.28,   81.05,   93.60,   10.30,   22.51,   18.41,   18.41,   27.43,   17.13,   21.89,    2.68,    1.63,    8.75,    7.22
-27.63599,-65.33749,2000,03,16,    3.18,   15.96,   80.32,   93.50,   11.30,   24.40,   20.18,   20.18,   29.73,   18.43,   23.85,    0.50,    0.24,    5.33,    3.85
-27.63599,-65.33749,2000,03,17,    7.21,   11.68,   83.43,   94.16,    5.62,   18.69,   15.35,   15.35,   21.32,   15.70,   18.29,    0.55,    0.30,    8.12,    5.86
-27.63599,-65.33749,2000,03,18,    0.10,   11.44,   77.53,   94.25,    9.84,   19.66,   15.06,   15.06,   24.28,   14.43,   19.16,    0.16,    0.10,    6.03,    4.98
-27.63599,-65.33749,2000,03,19,    0.00,   12.21,   78.06,   93.82,    9.99,   20.53,   16.03,   16.03,   25.27,   15.28,   20.01,    3.27,    1.72,   10.57,    8.47
-27.63599,-65.33749,2000,03,20,    0.05,   14.61,   82.34,   93.58,   11.21,   22.63,   18.77,   18.77,   27.83,   16.62,   22.00,    3.51,    1.96,    7.70,    6.54
-27.63599,-65.33749,2000,03,21,    1.40,   14.06,   79.18,   94.24,    9.80,   22.33,   18.29,   18.29,   27.18,   17.38,   22.14,    3.51,    1.75,    9.45,    7.66
-27.63599,-65.33749,2000,03,22,    0.16,   12.17,   78.44,   94.23,   10.21,   20.78,   15.96,   15.96,   25.28,   15.07,   19.96,    2.73,    1.69,    7.73,    6.37
-27.63599,-65.33749,2000,03,23,    0.31,   15.71,   82.50,   93.41,   12.15,   23.69,   19.87,   19.87,   29.50,   17.35,   23.13,    0.80,    0.31,    6.33,    5.25
-27.63599,-65.33749,2000,03,24,    0.90,   11.18,   69.89,   94.32,    8.52,   21.20,   14.28,   14.28,   24.21,   15.70,   20.48,    2.44,    1.37,    9.62,    7.29
-27.63599,-65.33749,2000,03,25,    0.20,   11.44,   79.84,   94.08,    9.13,   19.57,   14.97,   14.97,   23.48,   14.35,   18.66,    1.99,    1.05,    6.17,    5.29
-27.63599,-65.33749,2000,03,26,    0.88,   14.05,   72.90,   93.41,   14.17,   23.61,   18.07,   18.07,   30.95,   16.78,   23.34,    0.37,    0.26,    3.46,    2.66
-27.63599,-65.33749,2000,03,27,    0.24,    9.46,   67.39,   94.19,    9.22,   18.35,   11.64,   11.64,   21.26,   12.04,   18.36,    0.63,    0.35,   10.13,    8.10
-27.63599,-65.33749,2000,03,28,    0.00,    6.39,   58.88,   94.78,   10.59,   14.78,    6.37,    6.38,   20.29,    9.70,   14.45,    0.20,    0.13,    6.15,    5.37
-27.63599,-65.33749,2000,03,29,    0.00,    7.24,   66.19,   94.53,   13.02,   15.31,    8.16,    8.16,   21.34,    8.31,   14.52,    1.54,    0.90,    7.10,    5.88
-27.63599,-65.33749,2000,03,30,    0.33,    9.10,   68.57,   94.10,   15.05,   18.08,   11.46,   11.46,   25.64,   10.59,   17.46,    0.58,    0.25,    5.02,    4.18
-27.63599,-65.33749,2000,03,31,    0.90,   11.54,   75.69,   94.18,   12.10,   20.29,   15.17,   15.17,   26.15,   14.05,   19.67,    0.95,    0.60,    5.77,    4.28
-27.63599,-65.33749,2000,04,01,    3.55,   11.42,   84.23,   94.88,    5.82,   18.44,   15.17,   15.17,   21.57,   15.75,   17.91,    2.15,    1.31,    5.09,    4.33
-27.63599,-65.33749,2000,04,02,    0.86,   11.65,   83.99,   94.69,    8.44,   18.91,   15.44,   15.44,   22.88,   14.44,   18.24,    3.08,    1.76,    7.49,    6.14
-27.63599,-65.33749,2000,04,03,    0.25,   13.90,   82.19,   94.12,   10.09,   21.99,   18.11,   18.11,   27.36,   17.27,   21.32,    5.07,    2.84,    8.18,    6.79
-27.63599,-65.33749,2000,04,04,    1.74,   13.96,   85.36,   94.13,    9.42,   21.51,   18.14,   18.14,   26.05,   16.64,   20.77,    2.87,    2.11,    6.53,    4.73
-27.63599,-65.33749,2000,04,05,    0.25,   15.80,   81.55,   93.95,    9.75,   24.12,   20.14,   20.14,   29.11,   19.36,   23.51,    4.46,    2.74,    7.44,    6.19
-27.63599,-65.33749,2000,04,06,    2.47,   16.70,   80.96,   93.77,    9.53,   24.99,   21.01,   21.01,   30.04,   20.51,   24.51,    3.95,    2.15,    8.74,    7.07
-27.63599,-65.33749,2000,04,07,    0.42,   15.42,   76.21,   93.60,    9.99,   24.80,   19.64,   19.63,   29.96,   19.97,   24.17,    2.27,    1.15,    5.96,    4.50
-27.63599,-65.33749,2000,04,08,    0.07,   16.38,   77.31,   93.60,   10.15,   25.55,   20.66,   20.66,   30.63,   20.48,   24.93,    3.60,    1.65,    9.03,    7.32
-27.63599,-65.33749,2000,04,09,    0.07,   16.37,   74.94,   93.74,   10.80,   26.06,   20.68,   20.68,   31.54,   20.74,   25.47,    2.05,    0.89,    7.56,    6.34
-27.63599,-65.33749,2000,04,10,    4.22,   16.50,   77.65,   94.08,   10.49,   25.40,   20.83,   20.83,   30.90,   20.41,   25.06,    0.71,    0.49,    7.81,    5.64
-27.63599,-65.33749,2000,04,11,    2.94,   12.64,   82.84,   94.47,    6.62,   20.52,   16.69,   16.69,   23.67,   17.05,   19.72,    3.33,    2.41,    5.38,    3.98
-27.63599,-65.33749,2000,04,12,    0.83,   10.23,   78.44,   94.48,    7.75,   18.23,   13.42,   13.42,   21.65,   13.90,   17.24,    2.51,    1.80,    5.07,    3.96
-27.63599,-65.33749,2000,04,13,    1.51,   11.27,   80.46,   93.91,   10.09,   19.16,   14.78,   14.78,   23.56,   13.46,   18.27,    2.94,    1.43,    5.29,    4.59
-27.63599,-65.33749,2000,04,14,    1.80,   12.99,   83.01,   93.95,    9.16,   20.73,   17.03,   17.03,   25.40,   16.24,   20.03,    2.84,    1.45,    7.88,    6.40
-27.63599,-65.33749,2000,04,15,    3.15,   13.04,   83.75,   94.05,   10.30,   20.80,   17.07,   17.07,   25.85,   15.55,   19.97,    2.91,    1.90,    6.77,    4.79
-27.63599,-65.33749,2000,04,16,   12.03,   12.02,   84.61,   94.23,    6.21,   18.77,   15.87,   15.87,   22.13,   15.92,   18.54,    3.92,    2.39,    7.47,    6.02
-27.63599,-65.33749,2000,04,17,    2.98,    9.84,   78.82,   94.35,    8.31,   16.90,   12.77,   12.77,   21.60,   13.29,   16.53,    5.16,    3.00,    7.43,    5.96
-27.63599,-65.33749,2000,04,18,    0.59,    8.18,   70.13,   94.59,   11.82,   15.86,   10.05,   10.05,   22.35,   10.53,   15.52,    1.29,    0.77,    6.90,    5.50
-27.63599,-65.33749,2000,04,19,    0.00,    8.52,   71.39,   94.59,   12.50,   16.53,   10.66,   10.66,   23.05,   10.55,   15.88,    1.26,    0.78,    4.59,    3.46
-27.63599,-65.33749,2000,04,20,    0.00,    9.66,   77.36,   94.41,   12.45,   17.21,   12.51,   12.51,   23.10,   10.65,   16.55,    1.90,    1.12,    6.26,    5.22
-27.63599,-65.33749,2000,04,21,    0.00,   10.43,   77.89,   94.36,   10.36,   18.28,   13.72,   13.72,   23.32,   12.96,   17.63,    2.59,    1.33,    5.10,    4.39
-27.63599,-65.33749,2000,04,22,    0.00,   10.71,   76.01,   94.32,   12.13,   19.01,   14.12,   14.12,   25.20,   13.08,   18.44,    1.32,    0.60,    4.87,    3.75
-27.63599,-65.33749,2000,04,23,    0.00,   10.82,   72.87,   94.09,   13.02,   19.46,   14.22,   14.22,   26.63,   13.61,   19.23,    0.31,    0.20,    5.42,    4.47
-27.63599,-65.33749,2000,04,24,    0.00,   10.87,   71.65,   93.78,   13.41,   19.75,   14.25,   14.25,   27.16,   13.76,   19.53,    0.76,    0.26,    6.02,    5.14
-27.63599,-65.33749,2000,04,25,    0.00,   11.58,   67.27,   93.58,   15.24,   21.29,   14.99,   14.99,   29.82,   14.59,   21.53,    1.16,    0.54,    4.65,    3.31
-27.63599,-65.33749,2000,04,26,    1.26,   13.18,   76.23,   93.97,   10.40,   22.01,   17.21,   17.21,   27.47,   17.07,   21.66,    4.32,    2.55,    6.47,    4.53
-27.63599,-65.33749,2000,04,27,    8.14,   14.28,   79.95,   94.01,   10.66,   22.90,   18.53,   18.53,   28.36,   17.70,   22.19,    0.33,    0.41,    4.70,    2.73
-27.63599,-65.33749,2000,04,28,    4.99,   13.65,   85.17,   94.49,    6.91,   20.99,   17.92,   17.92,   24.92,   18.01,   20.52,    2.85,    1.37,    4.56,    4.10
-27.63599,-65.33749,2000,04,29,    0.01,   14.41,   80.35,   93.93,   10.12,   22.63,   18.66,   18.66,   28.25,   18.13,   22.24,    2.72,    1.28,    6.27,    5.12
-27.63599,-65.33749,2000,04,30,    0.58,   14.91,   78.23,   93.68,   10.09,   23.60,   19.14,   19.14,   29.08,   18.99,   23.20,    0.45,    0.14,    4.98,    3.22
-27.63599,-65.33749,2000,05,01,    0.41,   13.49,   70.95,   93.43,   12.21,   23.56,   17.36,   17.36,   30.60,   18.39,   23.13,    0.23,    0.04,    6.35,    3.42
-27.63599,-65.33749,2000,05,02,    2.47,    9.48,   73.49,   94.08,    8.16,   17.74,   12.15,   12.15,   21.22,   13.05,   17.01,    4.00,    2.78,    7.22,    5.98
-27.63599,-65.33749,2000,05,03,    6.08,    7.73,   84.68,   94.34,    4.39,   12.32,    9.16,    9.17,   13.79,    9.40,   11.73,    4.07,    2.43,    5.75,    4.65
-27.63599,-65.33749,2000,05,04,    1.18,    6.41,   79.55,   94.76,    7.89,   10.61,    6.54,    6.54,   14.55,    6.66,    9.93,    3.06,    1.66,    6.12,    5.06
-27.63599,-65.33749,2000,05,05,    0.00,    5.45,   63.81,   94.80,   14.17,   11.05,    4.17,    4.18,   18.89,    4.72,   10.82,    1.21,    0.84,    4.40,    3.46
-27.63599,-65.33749,2000,05,06,    0.00,    5.92,   63.85,   94.48,   13.69,   11.68,    5.23,    5.24,   19.81,    6.13,   12.01,    1.56,    0.92,    5.29,    4.56
-27.63599,-65.33749,2000,05,07,    0.00,    6.17,   61.21,   94.43,   13.24,   12.88,    5.92,    5.92,   20.89,    7.66,   13.27,    1.00,    0.46,    4.12,    3.72
-27.63599,-65.33749,2000,05,08,    0.00,    6.36,   64.52,   94.59,   12.08,   12.49,    6.37,    6.37,   19.91,    7.83,   12.93,    1.06,    0.64,    6.10,    5.25
-27.63599,-65.33749,2000,05,09,    0.00,    7.67,   73.88,   94.63,   13.29,   14.15,    9.05,    9.06,   20.74,    7.45,   13.72,    0.40,    0.23,    4.84,    4.26
-27.63599,-65.33749,2000,05,10,    0.00,    7.68,   81.14,   95.03,    5.11,   12.50,    9.20,    9.20,   14.91,    9.81,   12.38,    1.41,    0.81,    6.35,    5.22
-27.63599,-65.33749,2000,05,11,    0.00,    7.73,   82.01,   94.46,    8.36,   12.68,    9.21,    9.21,   17.05,    8.69,   12.23,    2.04,    1.25,    4.09,    3.46
-27.63599,-65.33749,2000,05,12,    0.25,    9.25,   82.76,   94.21,   10.04,   15.04,   11.80,   11.80,   20.07,   10.03,   14.78,    0.26,    0.23,    5.85,    4.65
-27.63599,-65.33749,2000,05,13,    0.94,   11.37,   83.59,   93.86,    9.89,   18.02,   14.93,   14.93,   23.33,   13.43,   17.79,    4.51,    2.39,    9.05,    7.27
-27.63599,-65.33749,2000,05,14,    2.58,   12.94,   85.63,   93.60,    8.23,   19.62,   16.91,   16.91,   24.56,   16.33,   19.41,    4.71,    2.30,    7.80,    6.51
-27.63599,-65.33749,2000,05,15,    0.44,    7.92,   71.55,   93.74,    7.51,   14.57,    8.96,    8.96,   17.75,   10.24,   14.56,    5.18,    2.89,   12.32,    9.97
-27.63599,-65.33749,2000,05,16,    0.00,    5.47,   52.22,   94.35,   13.06,   13.74,    4.19,    4.21,   21.33,    8.27,   13.85,    8.25,    4.51,   10.74,    8.39
-27.63599,-65.33749,2000,05,17,    0.45,    5.78,   62.28,   95.03,   11.79,   12.41,    5.02,    5.03,   18.59,    6.80,   12.09,    3.01,    1.58,    8.99,    5.45
-27.63599,-65.33749,2000,05,18,    0.01,    6.01,   76.40,   94.96,    9.86,   10.09,    5.59,    5.59,   14.97,    5.11,    9.61,    1.50,    1.06,    3.92,    3.55
-27.63599,-65.33749,2000,05,19,    0.00,    6.78,   76.51,   94.77,    9.65,   11.56,    7.34,    7.34,   16.83,    7.18,   11.34,    0.70,    0.49,    5.90,    3.88
-27.63599,-65.33749,2000,05,20,    0.00,    7.28,   75.95,   94.60,   12.47,   12.75,    8.37,    8.37,   19.88,    7.41,   12.51,    1.56,    0.72,    6.00,    5.14
-27.63599,-65.33749,2000,05,21,    0.00,    7.83,   75.54,   94.45,   13.33,   13.86,    9.42,    9.43,   21.47,    8.14,   13.69,    1.23,    0.54,    6.44,    5.20
-27.63599,-65.33749,2000,05,22,    0.00,    8.32,   74.96,   94.50,   12.29,   14.65,   10.32,   10.32,   21.83,    9.54,   14.73,    1.36,    0.78,    5.03,    4.28
-27.63599,-65.33749,2000,05,23,    0.00,    9.03,   77.31,   94.54,   11.60,   15.44,   11.54,   11.55,   21.75,   10.15,   15.53,    1.09,    0.51,    7.50,    6.06
-27.63599,-65.33749,2000,05,24,    0.00,   10.64,   77.23,   93.80,   13.51,   17.77,   13.92,   13.92,   26.08,   12.57,   18.00,    0.44,    0.10,    7.82,    6.31
-27.63599,-65.33749,2000,05,25,    0.00,    7.68,   57.45,   93.75,   13.78,   16.70,    8.69,    8.70,   25.89,   12.11,   17.52,    2.53,    1.44,    8.32,    6.53
-27.63599,-65.33749,2000,05,26,    0.00,    5.93,   57.86,   94.56,   11.80,   13.04,    5.25,    5.27,   20.67,    8.87,   13.55,    0.47,    0.35,    5.69,    4.78
